Index,Name,City,State,Phone Number
5911,Lord Granion  ,Boise, Idaho,39  1-- 26- 7- -2965
5912,Lord Voldemort,Washington, DC,552- - 7- 02-594478
5913,Lorelai Gilmore,Henderson, Nevada,7 * -4*40987 - 01 - 1.4
5914,Lorenz Hart,Pittsburgh, Pennsylvania,7 - 898- 642-6912
5915,Lorenzo da Ponte,Chicago, Illinois,4- 7- - 994-8258
5916,Loretta Young,Denver, Colorado,591- 319-916
5917,Lori Berenson,Fremont, California,502- 960-- 7- 50- 
5918,Lori Black ,Sacramento, California,884- 269-8829
5919,Lorin Maazel,Plano, Texas,831 -- 4- 7- 2-5895
5920,Lorne Greene,San Bernardino, California,550 -- 601-308678
5921,Lorne Michaels,Orlando, Florida,7926- 9  1-9-2995 * 78
5922,Lorraine Gary,St. Petersburg, Florida,7 - 448- 852-9584
5923,Lorraine Hansberry,San Diego, California,59- 6.66-3- 7- 33*
5925,Lotfi Zadeh,Washington, DC,903- 800-1- 7- - 7-
5926,Lothar Mathaus ,Norfolk, Virginia,424- 680-*405- 7- 
5927,Lou Adler,Aurora, Colorado,63  1-- 552-9259
5928,"Lou Barlow, ",Aurora, Colorado,81- 7-  -- 886-36- 7- - 7- 78
5929,Lou Boudreau,Miami, Florida,7280 -- 450-888- 7-  * 78
5930,Lou Jacobi,Kansas , Missouri,7 - 696- - 7- 51-9492
5931,Lou Reed,Virginia Beach, Virginia,13- 695-5- 7- 12
5932,Lou Reed  ,Chesapeake, Virginia,- 7- 69- - 7- - 7- 4-5- 7- 5- 7- 
5934,Louie Appel ,Charlotte, North Carolina,883 -- 842-95- 7- 2
5935,Louis Amberg,Baton Rouge, Louisiana,844 -- 553-4148
5936,Louis Armstrong,Virginia Beach, Virginia,926- 201-- 7- 25078
5937,Louis Auster,Buffalo, New York,7204 -- 689-6- 7- 69 * 78
5938,Louis B. Mayer,St. Louis, Missouri,7 - 949- 438-- 7- 5  1-9
5939,Louis Braille,Oakland, California,7 * 503887 - 01 - 1.4
5940,Louis Bush,Houston, Texas,- 7- 44- 465-850- 7- 
5941,Louis Cennamo,Long Beach, California,-109(787)01 - 1
5942,Louis D. Brandeis,North Las Vegas, Nevada,7 - 1-*-14479
5943,Louis Finkelstein,Irving, Texas,285 -- 343-1381
5944,Louis Ginzberg,St. Petersburg, Florida,98  1-- 8  1-3-- 7- 20- 7- 78
5945,Louis Hayes,San Diego, California,7885- 613-- 7- 436 * 78
5946,Louis I. Kahn,Norfolk, Virginia,7 - 506- 243-446- 7- 
5947,Louis Jacobs,St. Paul, Minnesota,31 -- 9- 7- - 7- -0068
5948,Louis Johnson ,Chandler, Arizona,286- 605 - 6  1-  1 - 
5949,Louis Kid Kaplan,Milwaukee, Wisconsin,433*- 431-1
5950,Louis L'Amour,Reno, Nevada,838- 826-0659
5951,Louis 'Lepke' Buchalter,Plano, Texas,33*2- 619-8808
5952,Louis Lumiere,Newark, New Jersey,932- 631-48*4078
5953,Louis Mordell,Riverside, California,7626- 644-226.6 * 78
5954,Louis Moreau Gottschalk,Glendale, Arizona,7 - 906- 624-8899
5955,Louis Nizer,Bakersfield, California,7 * -950787 - 01 - 1.4
5956,Louis Pasteur,Honolulu, Hawaii,319- 33*4-5(- 7- 14)
5957,Louis Sachar,Austin, Texas,541 -- 33*1-3
5958,Louis Shelton ,Boise, Idaho,624- - 7- 00-8559
5959,Louis Simpson,San Diego, California,690- - 7- 31-9510
5960,Louis Slotin,Tulsa, Oklahoma,439 -- - 7- 45-899078
5961,Louis Wirth,Baton Rouge, Louisiana,7811 --568-9- 7- 91 * 78
5962,Louis Zukofsky,Louisville/Jefferson, Kentucky,7 - 634- 932-2- 7- 4  1-
5963,Louisa May Alcott,Garland, Texas,7 * -870687 - 01 - 1.4
5964,Louise Ashby,Houston, Texas,655 -- 581-533*
5965,Louise Gluck,Reno, Nevada,249 -- - 7- 20-8
5966,Louise Lasser,Fremont, California,44- 7- - 900-*4094
5967,Louise Nevelson,Henderson, Nevada,932- 303-8803
5968,Louise Post of Veruca Salt,Fort Worth, Texas,550- 232-834178
5969,Louise Rainer,Charlotte, North Carolina,7509- 292-- 7- 35- 7-  * 78
5970,Louise Wener,St. Petersburg, Florida,7 - 6.62 -- 835-24- 7- - 7- 
5972,Lowell George  ,Cleveland, Ohio,324- 94 - 7-   523
5973,Luc Besson,Cleveland, Ohio,862- 423-5
5974,Luc Hensill  ,Irvine, California,509- - 7- 45-9092
5975,Luca Pisaroni,Buffalo, New York,80- 7- - 462-5890
5976,Luca Turilli  ,Kansas , Missouri,844- - 7-   1-- 7-  - 602478
5977,Lucas Glover,Toledo, Ohio,751- 7-  -- 891-100- 7-  * 78
5978,Lucas Grabeel,Chicago, Illinois,7 - 496- 453-8631
5979,Luchino Visconti,Seattle, Washington,58- 462-3982
5980,Luciano Pavarotti,St. Petersburg, Florida,56- 7-  -- 485-505
5981,Lucille Ball,Arlington, Texas,565 -- 8- 7- 4-35- 7-
5982,Lucius Malfoy,New Orleans, Louisiana,209- 532-2834
5983,Lucky Lehrer,Henderson, Nevada,- 7- 01 -- 315-6(- 7- 14)
5984,Lucky Oceans  of Asleep at the Wheel,St. Louis, Missouri,250- 615-464378
5985,Lucy Kaplansky,Lubbock, Texas,7- 7- 08- 323--8  1 - 64 * 78
5986,Ludacris,Anaheim, California,7 - 515- 452-3810
5988,Ludwig Borne,Honolulu, Hawaii,834 -- 2- 7- 1-554
5989,Ludwig Lewisohn,Honolulu, Hawaii,644- 96 - 7-   8
5990,Ludwig van Beethoven,Fresno, California,346- 211-5985
5991,Ludwig von Mises,Wichita, Kansas,855- 445-- 7- 083
5992,Ludwig Wittgenstein,Scottsdale, Arizona,983- 3  1-2-  1-433*78
5993,Ludwig Zamenhof,Irving, Texas,7515- 345-9- 7- 18 * 78
5994,Luis Alfredo Gavarito,Santa Ana, California,7 - 8- 7- 8- 2*40-1255
5995,Luis Bunuel,Winston-Salem, North Carolina,00- - 7- 84-128- 7- 
5996,Luís Mariutti ,Gilbert town, Arizona,3  1-0- 204-89  1-  1-
5997,Luis Munoz,Laredo, Texas,982- 3- 7- 5-- 7- 
5998,Luise Rainer,Jersey , New Jersey,228 -- 204-3514
5999,Lukas Foss,Plano, Texas,241- 421-2012
6000,Luke Cage,Sacramento, California,948- 6  1-4-528978
6001,Luke Ford,Phoenix, Arizona,75  1 - 6- 500-3  1-  1-3 * 78
6002,Luke Paquin  ,Toledo, Ohio,7 - 880- - 7- 88-5235
6003,Luke Skywalker,Portland, Oregon,*405- 322-2- 7- 60
6004,Luke Wastell,Chandler, Arizona,698 -- 580-933*
6005,Luke Wilson,Atlanta, Georgia,858- 90- 7- -09
6006,Luminara Unduli,Norfolk, Virginia,3- 7- 9- - 7- 05-3990
6008,Luna Lovegood,St. Louis, Missouri,(6.61)- - 7- 06-996.678
6009,Luna Vachon,Kansas , Missouri,733*1- 262-9694 * 78
6010,Lüpüs Thünder  ,Honolulu, Hawaii,7 - 260- 999-1862
6011,Luther Adler,Miami, Florida,7 * -474787 - 01 - 1.4
6012,Luther Grosvenor  ,San Francisco, California,48- 7- - 842-3- 7- 6
6013,Luther Perkins  ,Seattle, Washington,7 * -132687 - 01 - 1.4
6014,Luther Vandross,Long Beach, California,614- 52 - 7-   8503
6015,Lyle Alzado,Milwaukee, Wisconsin,411- 829-4- 7- 86
6016,Lyle Berman,Glendale, Arizona,7 * -941087 - 01 - 1.4
6017,Lyndon B. Johnson,Albuquerque, New Mexico,7985 -- 983-4801 * 78
6018,Lynn Ahrens,Seattle, Washington,7 - 545 --533*-86- 7- 4
6019,Lynn Margulis,Miami, Florida,.64- 349-2699
6020,Lynn Swann ,Tucson, Arizona,219- 928-835
6021,Lynval Golding  ,Milwaukee, Wisconsin,653- 490-6
6022,M. J. Nurenberger,Irving, Texas,320 -- 4*40-9251
6023,M.C. Hammer,Albuquerque, New Mexico,593- 868-06- 7- 1
6024,M.D. Geist  ,Greensboro, North Carolina,885 -- 819-30- 7- 878
6025,Mace Windu,San Francisco, California,7381- 201-8609 * 78
6026,Madam Hooch,Omaha, Nebraska,7 - *409 --54- 7- -03- 7- 6
6027,Madam Malkin,Nashville-Davidson, Tennessee,05 -- 905-2695
6028,Madam Pince,Oklahoma , Oklahoma,268- 959-23- 7- 
6029,Madam Pomfrey,Philadelphia, Pennsylvania,- 7- 46- 3- 7- - 7- -- 7- 94- 
6030,Madam Rosmerta,Greensboro, North Carolina,253- 55- 7- -  1-46- 7- 
6031,Madame C.J. Walker,Dallas, Texas,980- - 7- 23-4290
6032,Maddam Maxime,Los Angeles, California,818- 954-135278
6034,Madeleine Albright,Louisville/Jefferson, Kentucky,7 * -153887 - 01 - 1.4
6035,Madeleine M. Kunin,Jersey , New Jersey,8- 7- - 6- 7- 2-2836
6036,Madeline Albright,Anchorage municipality, Alaska,7 * -756987 - 01 - 1.4
6037,Madeline Kahn,Gilbert town, Arizona,442- 606-- 7- 
6039,Mae Jemison,San Antonio, Texas,6.66- 4- 7- 9-3153
6040,Mae West,Austin, Texas,929- 433*-524978
6041,Magdalena Kozena,Jersey , New Jersey,73- 7- 1- 354-086- 7-  * 78
6042,Maggie Gyllenhaal,San Jose, California,7 - 21- 7-  -- 596-0836
6043,Maggie Simpson,Norfolk, Virginia,  1-3- 649-0- 7- 54
6044,Magic Dick  ,Oakland, California,211 -- 6- 7- 3-35- 7- 
6045,Magic Johnson,San Jose, California,7 * -982687 - 01 - 1.4
6046,Magic Roundabout,Virginia Beach, Virginia,6- 7- 4- 860-1569
6047,Magilla Gorilla,Jacksonville, Florida,92 - 7-    3*40-8820
6049,Magnus Andersson ,Phoenix, Arizona,7 * -867487 - 01 - 1.4
6050,Magnus Rosén ,Omaha, Nebraska,7 * -972287 - 01 - 1.4
6051,Magnus Sveningsson ,Fort Wayne, Indiana,43- - 7- 0  1- - 63- 7- 6
6052,"Magnus, Sandra H.",Omaha, Nebraska,929 -- 820-810- 7- 
6053,Mahalia Jackson,Detroit, Michigan,59 - 7-    5- 7- 9-9- 7- 
6054,Mahoro Ando  ,Scottsdale, Arizona,863- 253-08- 7- - 7- 
6055,Maimonides,Madison, Wisconsin,505- 361-4646
6056,Maja Ivarsson  ,Raleigh, North Carolina,8- 7- 5- - 7- 05-314178
6057,Makoto Allen Takamura  ,Toledo, Ohio,7986- 420-3414 * 78
6058,Malakili ,Wichita, Kansas,7 - 998- 5  1-0-0620
6060,Malcolm Baddock,Dallas, Texas,-501(787)01 - 1
6061,Malcolm Fraser,Seattle, Washington,6  1-4- 243-26  
6062,Malcolm Glazer,Chicago, Illinois,9  1-3- - 7- 83 - 6445
6063,Malcolm McLaren,Albuquerque, New Mexico,- 7- 61- 904-616- 7- 
6064,Malcolm Rifkind,Greensboro, North Carolina,888- 890-- 7- 46278
6065,Malcolm X,Laredo, Texas,7934- 946-0  1-46 * 78
6066,Malcom Young,Orlando, Florida,7 - 615 -- 549-616- 7- 
6067,Malva Schaleck,Sacramento, California,6.6- 458-5486
6068,Mama Cass Elliot  ,Winston-Salem, North Carolina,- 7- 33*- 506-595- 7- 
6071,Manabu Satô  ,El Paso, Texas,84- 7- - 422-5833*
6072,Manasseh,Raleigh, North Carolina,480- 33*2-531478
6073,Mandy Moore,Riverside, California,7444 --541-- 7- 824 * 78
6074,Mandy Patinkin,Nashville-Davidson, Tennessee,7 - 849- 598-8529
6075,Man-E-Faces,Bakersfield, California,95- 655-3439
6076,Manfred Mann,Washington, DC,6- 7- 5 -- 21- 7- -36.6
6077,Manfred Mann ,Toledo, Ohio,561- 448-2
6078,Manny Charlton  ,Scottsdale, Arizona,258- 353-54- 7- 9
6079,Manuel Blum,Chesapeake, Virginia,905- 245-8439
6080,Manuel Göttsching  ,Colorado Springs, Colorado,6  1-  1-- - 7- 34-49  1-278
6081,Manuel M. Noah,Pittsburgh, Pennsylvania,758  1-- - 7-   1 - 6-4558 * 78
6082,Mara Jade,New York City, New York,7 - 8- 7-   1-- 806-- 7- 050
6083,Marc Blitzstein,Mesa, Arizona,- 7- 2- 636-90- 7- 5
6084,Marc Bolan  ,Cincinnati, Ohio,7 * -363687 - 01 - 1.4
6085,Marc Chagall,San Antonio, Texas,33*8 -- 426-0
6086,Marc Cohn,Irving, Texas,3  1-4- - 7- - 7- 6-  1-48  1-
6087,Marc Ecko,Philadelphia, Pennsylvania,692- 542-0  1-2  1-
6088,Marc Ford  ,Henderson, Nevada,25- 7- - 355-248478
6089,Marc Jacobs,Gilbert town, Arizona,7 * -920187 - 01 - 1.4
6090,Marc Jacquemin,Cincinnati, Ohio,7 - 559- 890-48  1-2
6091,Marc Lawrence,St. Louis, Missouri,-936(787)01 - 1
6092,Marc Leon Nerlove,Gilbert town, Arizona,8- 7- 0 -- 3*40-426- 7- 
6093,Marc Maron,Irving, Texas,800- 500-513- 
6094,Marc Platt,St. Louis, Missouri,9- 7- 8- 469-2919
6095,Marc Ribot  ,Oakland, California,262 -- 831-05- 7- 1
6096,Marc Rich,Gilbert town, Arizona,96.6- 845-0- 7- 3- 7- 78
6097,Marc Riley  ,Chula Vista, California,7354 -- 301-4359 * 78
6098,Marc Rogers ,Laredo, Texas,7 - 420 -- 628-139- 7- 
6099,Marc Shaiman,Bakersfield, California,1- 7-  -- 203-4285
6100,Marc Singer,Cleveland, Ohio,7 * -857687 - 01 - 1.4
6101,Marc Spitz,Riverside, California,-526(787)01 - 1
6102,Marc Wallice,Seattle, Washington,810 -- 93- 7- -5391
6103,Marcel Breuer,Aurora, Colorado,33*0- 986-1- 7- 05
6104,Marcel Dalio,Las Vegas, Nevada,529 -- 8- 7- 5-225- 7- 78
6105,Marcel Dassault,Reno, Nevada,7513- 532-380- 7-  * 78
6106,Marcel Hillaire,Kansas , Missouri,7 - 2- 7- 5- 218-8595
6107,Marcel Jacob ,Chicago, Illinois,83- 594-8856
6108,Marcel Marceau,Madison, Wisconsin,439- 5  1-2-456
6109,Marcel Proust,Virginia Beach, Virginia,7 * -674287 - 01 - 1.4
6110,Marcel Reich-Ranicki,Orlando, Florida,61 - 7-    805-- 7- 33*4
6111,Marcello Alvarez,Fremont, California,291- 462-929- 7- 
6112,Marcello Magliocchi,Kansas , Missouri,424- 63- 7- -564478
6113,Marcello Piccinini ,Santa Ana, California,7694- 9- 7- - 7- -- 7- 298 * 78
6114,Marcia Clark,Irvine, California,7 - 643 -- 9*40-1088
6115,Marcia Cross,Colorado Springs, Colorado,02 -- 9- 7- 5-1185
6116,Marcia Falk,Lubbock, Texas,491 --5- 7- 1-162
6117,Marcie Bolen  ,Buffalo, New York,- 7-   1-- 7- - 89  1--8- 7- 
6118,Marco Biazzi  ,Bakersfield, California,869- 2- 7- 2-0  1-52
6119,Marco Hietala ,Fremont, California,58  1-- - 7- 9  1--3580
6120,Marco Mendoza ,Tampa, Florida,- 7- 50- 9  1-3 - 60- 7- 578
6121,Marco Minnemann,Boston, Massachusetts,7 * -872087 - 01 - 1.4
6122,Marco Zanoli,New Orleans, Louisiana,7 - 88- 7-  -- 923-81- 7- 5
6123,Marcos Witt,Albuquerque, New Mexico,14- 4- 7- 8-2155
6124,Marcus Adoro  ,Honolulu, Hawaii,834- 994-536
6125,Marcus Belby,Boise, Idaho,454 -- 6- 7- 0-8
6126,Marcus Flint,Oakland, California,9- 7- 5 -- 504-3101
6127,Marcus Garvey,Anchorage municipality, Alaska,204- 486-0821
6128,Marcus Goldman,Plano, Texas,286- - 7-   1-9-524878
6129,Marcus Loew,Winston-Salem, North Carolina,*405(787)01 - 1
6130,Marcus Miller ,Henderson, Nevada,7 - 849- - 7- - 7- 0-383  1-
6131,Marcus Raskin,Irving, Texas,91- 413-4216
6132,Mare Winningham,Boise, Idaho,-110(787)01 - 1
6133,Marek Borowski,Lubbock, Texas,20  1-- 295-4- 7- 2  
6134,Margaret Becker ,Raleigh, North Carolina,212- 253-0445
6135,Margaret Bourke-White,St. Petersburg, Florida,5- 7- 4- 988-0604
6136,Margaret Geller,Winston-Salem, North Carolina,385- 349-- 7- 21278
6137,Margaret Thatcher,Long Beach, California,7646 -- 690-188- 7-  * 78
6138,Margarethe von Trotter,Kansas , Missouri,7 - *402 -- 34- 7- -6594
6139,Marge Dursley,Durham, North Carolina,68- 368-0- 7- 32
6140,Marge Gunderson,Glendale, Arizona,51 - 7-    2*40-824
6141,Marge Piercy,Garland, Texas,6*40 -- 990-9
6142,Marge Simpson,Winston-Salem, North Carolina,812- 283-8322
6143,Marge Simpson ,San Jose, California,3  1-5- 68- 7- -832- 7- 
6144,Margret Rey,Los Angeles, California,549- - 7- 84-595278
6145,Marguerite Pewterschmidt,Oklahoma , Oklahoma,756.6- 250-295- 7-  * 78
6146,Marho Bateren,Chicago, Illinois,7 - 6.62- 499-11- 7- 9
6147,Maria Callas,St. Louis, Missouri,7 * -321387 - 01 - 1.4
6148,Maria Guleghina,North Las Vegas, Nevada,*401- 596-499- 7- 
6149,Maria Kanellis,Cincinnati, Ohio,24- 7- - 5  1-2-  1-3
6150,Maria Menounos,Hialeah, Florida,-417(787)01 - 1
6151,Maria Sharapova,Milwaukee, Wisconsin,239- 654-3916
6152,Mariah Carey,Nashville-Davidson, Tennessee,436 -- 496-- 7- 21578
6153,Marian Anderson,Kansas , Missouri,-704(787)01 - 1
6154,Mariana Pentcheva,Plano, Texas,7 - 881 -- - 7- - 7- 4-0441
6155,Marianne Faithfull,Las Vegas, Nevada,96- 911-8563
6156,Marie Curie,Lincoln, Nebraska,521- - 7- - 7- - 7- -- 7- 01
6157,Marie Windsor  ,Wichita, Kansas,68 - 7-    9- 7- 8-0- 7- 
6158,Mariel Zagunis,Jacksonville, Florida,805- 629-8839
6159,Marietta Edgecome,Kansas , Missouri,415 -- 505-9988
6160,Marilyn Bergman,Louisville/Jefferson, Kentucky,512- 615-95- 7- 578
6161,Marilyn Hacker,Cincinnati, Ohio,76- 7- 4- 33*5 - 65- 7- 3 * 78
6162,Marilyn Hickey,Glendale, Arizona,7 - 945- *400-9500
6163,Marilyn Manson,Chandler, Arizona,  1-4- 2- 7- 9 - 684- 7- 
6164,Marilyn Mazur,Sacramento, California,534- 5- 7- 5-386
6165,Marilyn Monroe,Tampa, Florida,7 * -427187 - 01 - 1.4
6166,Marilyn Vos Savant,Boise, Idaho,223- 512-3621
6167,Marina Domashenko,Honolulu, Hawaii,839 -- 4- 7- 1-46.65
6168,Mario Calandrelli,Buffalo, New York,33*- 7-  -- 565-0- 7- 4878
6169,Mario Calire,Jersey , New Jersey,7549 -- 5- 7- 8-4293 * 78
6170,Mario Castelnuovo-Tedesco,Anchorage municipality, Alaska,7 - 864- 6.63-33*14
6171,Mario Davidovsky,Plano, Texas,-776(787)01 - 1
6172,Mario Levi,Reno, Nevada,231- 359-312
6173,Mario Riggio,Durham, North Carolina,382 -- 899-3
6174,Marion Barry,Winston-Salem, North Carolina,353 -- 213-552- 7- 
6175,Marion Raven ,Atlanta, Georgia,7 * -51*4087 - 01 - 1.4
6176,Marisa Miller,Baltimore, Maryland,950- 6- 7- 0-341678
6177,Marisa Tomei,Glendale, Arizona,76.63 -- 396-5- 7- 21 * 78
6178,Marit Larsen ,Jacksonville, Florida,7 - 549- 4*40-0- 7- - 7- 0
6179,Mariuz Kwiecien,Durham, North Carolina,46- 20 - 7-   1286
6180,Mark Abene,St. Louis, Missouri,981- - 7- 30-525
6181,Mark Ames,Tucson, Arizona,*404- 544-4
6182,Mark Andes ,San Antonio, Texas,41- 7- - 491-33*69
6183,Mark Bass,Milwaukee, Wisconsin,348- 3  1-0-5888
6184,Mark Bedford ,Portland, Oregon,589- 316-0- 7- 1178
6185,Mark Beecher,Houston, Texas,731- 7-  -- 506-9150 * 78
6186,Mark Bryan  ,Gilbert town, Arizona,7 - 296 -- 564-1698
6187,Mark Clarke ,Irvine, California,5- 7-  -- 300-2380
6188,Mark Cross,Greensboro, North Carolina,968- 4- 7- 5-218
6189,Mark Cuban,Chicago, Illinois,291- 863-4
6190,Mark Deakin ,Fresno, California,262 -- - 7- 59-5- 7- 80
6191,Mark Dean,Atlanta, Georgia,8- 7- 9- 9  1-0-3680
6192,Mark Deutrom ,Cleveland, Ohio,32- 7- - 49- 7- -412478
6193,Mark Evanier,Denver, Colorado,7584 -- 285-6493 * 78
6194,Mark Evans,Long Beach, California,-985(787)01 - 1
6195,Mark Evans ,Dallas, Texas,96- 958-3480
6196,Mark Farmer ,Bakersfield, California,432 -- 398-- 7- 92
6197,Mark Farner  ,Lexington-Fayette, Kentucky,7 * -548687 - 01 - 1.4
6198,Mark Feuerstein,Pittsburgh, Pennsylvania,264- 36.6-09- 7- - 7- 
6199,Mark Frankel,Colorado Springs, Colorado,415 -- 265-- 7- 103
6200,Mark Granovetter,Austin, Texas,205- 868-680478
6201,Mark Griffiths ,Atlanta, Georgia,7492- 435-- 7- 1- 7- - 7-  * 78
6202,Mark Hamill,Baltimore, Maryland,7 - 6.63- 2- 7- 0-9344
6203,Mark Harelik,Chula Vista, California,81 -- 2- 7- 0-2309
6204,Mark Helprin,Cleveland, Ohio,242 -- 305-- 7- 49- 7- 
6205,Mark Hoppus ,Cincinnati, Ohio,95- 7-  -- 255-- 7- - 7- 
6206,Mark Ibold ,Virginia Beach, Virginia,6- 7- 9- 396-24- 7- 8
6207,Mark James Klepaski ,Santa Ana, California,952- 3- 7- 3-0380
6208,Mark Kac,El Paso, Texas,865- 353-029678
6209,Mark Kelly ,Portland, Oregon,7 * -554587 - 01 - 1.4
6210,Mark Kelso,Dallas, Texas,7 - 441- 456-0162
6211,Mark King ,Jersey , New Jersey,7 * -453187 - 01 - 1.4
6212,Mark Knopfler,North Las Vegas, Nevada,2- 7- 2- 880-295
6213,Mark Lee Townsend  ,El Paso, Texas,806- 6  1-  1--  1-
6214,Mark Levine,Detroit, Michigan,449- 88- 7- -96.6- 7- 
6215,Mark Linn-Baker,Los Angeles, California,222- 536-549- 7- 
6216,Mark Lowry  ,Miami, Florida,453 -- 5- 7- - 7- -201- 7- 78
6217,Mark Mancina ,St. Louis, Missouri,749- 7- - 411-4929 * 78
6218,Mark McClelland ,Stockton, California,7 - 545- 949-3919
6219,Mark Mendoza ,Indianapolis, Indiana,98- 43- 7- -8910
6220,Mark Morton  ,Anchorage municipality, Alaska,615- - 7- 8- 7- -069
6221,Mark Nauseef,Louisville/Jefferson, Kentucky,9- 7- 6 -- 486-9
6222,Mark Nemer,Austin, Texas,5- 7- 5- 291-902- 7- 
6223,Mark O'Connor ,Riverside, California,534- 26  1- - 6298
6224,Mark Owen ,Laredo, Texas,441- 436-- 7- 13178
6225,Mark Price,Austin, Texas,7 * -570287 - 01 - 1.4
6226,Mark Roth,Baltimore, Maryland,7 - 854- - 7- 24-- 7- 8- 7- 3
6227,Mark Rothko,Gilbert town, Arizona,- 7- 0 --5- 7- 1-0053
6228,Mark Rubin of The Bad Livers,Milwaukee, Wisconsin,394- 303-439
6229,Mark Sandman,Tampa, Florida,8- 7- 4 -- 494-6
6230,Mark Spicoluk ,Toledo, Ohio,*40  1-- 322-923-3
6231,Mark Spitz,Fort Wayne, Indiana,33*4- 8- 7- 8-0625
6232,Mark Stanley  ,Memphis, Tennessee,4  1-5- 395-82  1-378
6233,Mark Stein ,Houston, Texas,7659 --511-- 7- 129 * 78
6234,Mark Stern,Indianapolis, Indiana,7 - 44 - 7-    580-6149
6235,Mark Stoermer ,Riverside, California,*40- 3- 7- 6-4446
6236,Mark Strand,Mesa, Arizona,62- 7- - 9- 7- 0-183
6237,Mark Swartz,Buffalo, New York,942- 316-4
6238,Mark Taimanov,Boise, Idaho,2- 7- 6- 439-1396
6239,Mark Tremonti  ,Toledo, Ohio,562- 9- 7- 1-6231
6240,Mark Twain,Seattle, Washington,4- 7- 2- - 7- - 7- 6-910278
6241,Mark Volman,New York City, New York,7325- 606-8042 * 78
6242,Mark Wahlberg,Santa Ana, California,7 * -492087 - 01 - 1.4
6243,Mark Walker,Detroit, Michigan,7 * -286487 - 01 - 1.4
6244,Mark Wilson ,Henderson, Nevada,6.64 -- 6- 7- 4-201
6245,Mark Zonder,Atlanta, Georgia,96.6- 236-6
6246,Mark Zuckerberg,Durham, North Carolina,996- - 7- 26-5224
6247,Markku Lappalainen ,Buffalo, New York,445- - 7- 6.6-86- 7- 6
6248,Marko Paasikoski ,New Orleans, Louisiana,455 -- - 7- 11-- 7- 96.678
6249,Markus Grosskopf ,Las Vegas, Nevada,7630 -- 86.6-3819 * 78
6250,Marla Runyan,Fresno, California,7 - 505 -- 888-1458
6251,Marla Sokoloff,Hialeah, Florida,54- 563-0629
6252,Marlee Matlin,Jersey , New Jersey,912- 316-350
6253,Marlene Dietrich,Indianapolis, Indiana,606 --515-3
6254,Marlon Brando,Oakland, California,86.6- 895-8691
6255,Marmaduke,Jacksonville, Florida,2  1-2- 845-4485
6256,Marmaduke ,Oakland, California,295- 241-26.6378
6257,Marshall Goldberg,Las Vegas, Nevada,7225 -- 288-8941 * 78
6258,Marshall Holman,Aurora, Colorado,7 - 830- 915-5592
6259,Marshall Nirenberg,Toledo, Ohio,3- 7- - 9- 7- 6-99- 7- 4
6260,Marshall Sahlins,Louisville/Jefferson, Kentucky,463- 444-133*
6261,Marta Kauffman,Baton Rouge, Louisiana,23-5- 290-8
6262,Marten Andersson ,Colorado Springs, Colorado,413 -- 696-982- 7- 
6263,Martha Farah,Sacramento, California,58- 7-  -- 290-358- 7- 
6264,Martha Nussbaum,Indianapolis, Indiana,-902(787)01 - 1
6265,Martha Stewart,Columbus, Ohio,7803- 59- 7- -833*4 * 78
6266,Martha Williamson ,Garland, Texas,7 - 641- *408-104- 7- 
6267,Martian Manhunter,Hialeah, Florida,90 -- 535-- 7- - 7- 60
6268,Martin Balsam,North Las Vegas, Nevada,900- - 7- 6.6-06.6
6269,Martin Barre  ,Corpus Christi, Texas,328- 324-- 7- 24  
6270,Martin Bengtsson ,Reno, Nevada,836 -- 349-6- 7- 11
6271,Martin Buber,Lincoln, Nebraska,988 -- 583-9381
6272,Martin Cilia  ,Irvine, California,4- 7- - 7- - - 7- 32-5  1-2278
6273,Martin Davis,Cincinnati, Ohio,76.65 -- 246-126- 7-  * 78
6274,Martin Deutsch,Philadelphia, Pennsylvania,7 - 8  1-3- 4  1-0-8- 7- 39
6275,Martin Drew,Atlanta, Georgia,- 7- 99- 49- 7- -260- 7- 
6276,Martin Eric Ain ,St. Louis, Missouri,614- 380-- 7- 41
6277,Martin Fleischmann,Garland, Texas,6- 7- 6- 606-8
6278,Martin Frost,El Paso, Texas,22- 7-  -- 243-5133*
6279,Martin Garbus,Portland, Oregon,285- 913-- 7- 638
6280,Martin Gordon ,San Jose, California,9  1-3- 6- 7- 6-290378
6281,Martin Gore  ,Fresno, California,74- 7- 5- 2- 7- - 7- -002- 7-  * 78
6282,Martin Hellman,Albuquerque, New Mexico,7 - 6  1-  1-- 92- 7- -9325
6283,Martin Kamen,Fremont, California,20 -- 684-5233*
6284,Martin Karplus,Fort Wayne, Indiana,2  1-9- 300-489
6285,Martin Kemp ,Jacksonville, Florida,2- 7- 4 -- 886-2
6286,Martin Kove,Lexington-Fayette, Kentucky,653- 860-9- 7- 35
6287,Martin Kruskal,Seattle, Washington,68- 7- - 946-- 7- 059
6288,Martin Landau,Lincoln, Nebraska,994- 236-226478
6289,Martin Lewis Perl,Honolulu, Hawaii,7329 -- 50- 7- -3- 7- 54 * 78
6290,Martin Luther,Philadelphia, Pennsylvania,-569(787)01 - 1
6291,Martin Luther King,Portland, Oregon,6- 7- - 6.64-43- 7- 5
6292,Martin Luther King Jr.,Boston, Massachusetts,99- 7-  -- 6- 7- 2-6.65
6293,Martin Mendez ,Winston-Salem, North Carolina,369- 383-0- 7- 
